chr position COMBINED_rate(cM/Mb) Genetic_Map(cM)
15 20014981 0 0
15 20049831 0.1031918738 0.00359623680193
15 20055634 0.1032565516 0.0041954345708648
15 20071673 0.1111991554 0.0059789578243254
15 20071765 0.1205349975 0.0059900470440954
15 20078165 0.3148203104 0.0080048970306554
15 20083896 0.7087923598 0.0120669860446692
15 20085107 0.709859662 0.0129266260953512
15 20085638 0.2197608752 0.0130433191200824
15 20090856 0.1416650747 0.013782527479867
15 20100442 0.1403091896 0.0151275313713726
15 20100465 0.1372557211 0.0151306882529579
15 20101308 0.1358972285 0.0152452496165834
15 20111449 0.1358746733 0.0166231546785187
15 20119706 0.1358668694 0.0177450074191545
15 20143651 0.1364114523 0.021011379644478
15 20144802 0.1368961305 0.0211689470906835
15 20161372 2.360239057 0.0602781082651735
15 20161541 2.8699480281 0.0607631294819224
15 20161864 0.4011543523 0.0608927023377153
15 20162196 0.4027051251 0.0610264004392485
15 20163398 0.380274787 0.0614834907332225
15 20164610 0.3394524925 0.0618949071541325
15 20164888 0.3060586742 0.0619799914655601
15 20167089 0.3030617995 0.0626470304862596
15 20167621 0.3004211869 0.0628068545576904
15 20170150 0.2983484154 0.063561377700237
15 20172595 0.2959093406 0.064284876038004
15 20172708 0.2934110454 0.0643180314861342
15 20173696 0.2921764879 0.0646067018561794
15 20176300 0.2911647542 0.0653648948761162
15 20176836 0.2904091069 0.0655205541574146
15 20177092 0.2886558185 0.0655944500469506
15 20178288 0.2860008578 0.0659365070728794
15 20180945 0.2814773258 0.06668439232753
15 20186408 0.2823116414 0.0682266608244982
15 20188058 0.2905821204 0.0687061213231582
15 20191741 4.8109549198 0.0864248682927816
15 20192011 4.8646868892 0.0877383337528656
15 20192086 4.8556065239 0.0881025042421581
15 20192951 0 0.0881025042421581
15 20193922 0 0.0881025042421581
15 20194958 0 0.0881025042421581
15 20212798 0 0.0881025042421581
15 20415877 0 0.0881025042421581
15 20422587 3.8295551221 0.113798819111449
